"num_item_id","definition","type","category","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36"
68,"cykel","word","vehicles",0.05,0.12,0.25,0.27,0.44,0.48,0.62,0.7,0.76,0.82,0.91,0.94,0.93,0.91,0.97,0.94,0.98,0.98,0.99,0.98,0.99
69,"lastbil","word","vehicles",0.02,0.02,0.11,0.14,0.27,0.31,0.44,0.49,0.62,0.68,0.81,0.8,0.85,0.87,0.92,0.92,0.96,0.96,0.96,0.96,0.95
70,"ballon","word","toys",0.05,0.09,0.19,0.25,0.36,0.44,0.6,0.58,0.67,0.8,0.85,0.85,0.91,0.87,0.93,0.95,0.97,0.95,0.98,0.97,0.99
71,"farveblyant","word","toys",0,0,0.02,0.01,0.02,0.03,0.05,0.1,0.08,0.12,0.2,0.21,0.21,0.24,0.26,0.33,0.41,0.5,0.44,0.49,0.46
72,"legetøj","word","toys",0.02,0.03,0.05,0.06,0.11,0.17,0.29,0.36,0.47,0.59,0.66,0.69,0.74,0.77,0.84,0.87,0.94,0.95,0.95,0.97,0.98
73,"blyant","word","toys",0,0.02,0.04,0.03,0.09,0.08,0.14,0.19,0.23,0.32,0.47,0.5,0.44,0.57,0.59,0.62,0.72,0.74,0.73,0.81,0.81
74,"gave","word","toys",0.01,0.01,0.06,0.06,0.11,0.17,0.28,0.35,0.5,0.62,0.78,0.76,0.79,0.81,0.9,0.89,0.93,0.94,0.96,0.95,0.98
75,"lego","word","toys",0.03,0.03,0.03,0.02,0.08,0.07,0.21,0.18,0.24,0.27,0.39,0.48,0.49,0.54,0.63,0.66,0.76,0.76,0.8,0.78,0.86
76,"bog","word","toys",0.17,0.31,0.46,0.5,0.66,0.69,0.83,0.8,0.87,0.91,0.96,0.94,0.95,0.96,0.97,0.98,0.99,0.99,1,1,1
77,"historie","word","toys",0.02,0.01,0.03,0.03,0.03,0.05,0.11,0.1,0.24,0.28,0.4,0.45,0.48,0.55,0.64,0.71,0.79,0.77,0.8,0.88,0.89
78,"puslespil","word","toys",0.02,0.02,0.04,0.04,0.12,0.12,0.26,0.28,0.45,0.51,0.59,0.66,0.68,0.76,0.76,0.85,0.87,0.89,0.92,0.91,0.94
79,"bold","word","toys",0.24,0.32,0.41,0.55,0.7,0.72,0.84,0.85,0.91,0.91,0.95,0.94,0.95,0.96,0.99,0.98,0.99,0.99,1,0.99,1
80,"klods","word","toys",0.03,0.04,0.08,0.12,0.18,0.23,0.36,0.38,0.46,0.52,0.63,0.71,0.68,0.7,0.77,0.84,0.87,0.85,0.91,0.88,0.91
81,"spil","word","toys",0.01,0,0.03,0.06,0.08,0.14,0.17,0.22,0.39,0.33,0.48,0.51,0.52,0.59,0.68,0.66,0.73,0.77,0.77,0.82,0.83
82,"dukke","word","toys",0.08,0.16,0.21,0.26,0.41,0.39,0.55,0.59,0.69,0.67,0.83,0.84,0.83,0.89,0.91,0.91,0.92,0.97,0.95,0.98,0.97
83,"kridt","word","toys",0,0,0.01,0,0.04,0.05,0.06,0.1,0.14,0.16,0.28,0.27,0.31,0.35,0.42,0.42,0.45,0.52,0.52,0.59,0.65
84,"sæbebobler","word","toys",0.01,0.03,0.03,0.06,0.08,0.11,0.17,0.24,0.24,0.38,0.46,0.49,0.57,0.56,0.74,0.74,0.75,0.82,0.77,0.82,0.87
85,"duplo","word","toys",0.01,0,0.01,0.01,0.02,0.03,0.04,0.05,0.07,0.06,0.07,0.14,0.11,0.16,0.13,0.14,0.18,0.2,0.25,0.23,0.2
86,"kuglepen","word","toys",0,0.02,0.03,0.01,0.06,0.07,0.08,0.11,0.19,0.27,0.33,0.34,0.28,0.4,0.49,0.49,0.63,0.68,0.65,0.71,0.63
87,"modellérvoks","word","toys",0,0.01,0.01,0.01,0.01,0.02,0.04,0.02,0.07,0.08,0.18,0.19,0.24,0.2,0.34,0.39,0.39,0.44,0.48,0.51,0.63
88,"agurk","word","food_drink",0.08,0.12,0.27,0.26,0.4,0.44,0.61,0.6,0.69,0.76,0.86,0.86,0.89,0.87,0.94,0.95,0.96,0.98,0.99,0.98,0.99
89,"kiks","word","food_drink",0.17,0.29,0.47,0.5,0.57,0.67,0.8,0.79,0.88,0.82,0.95,0.91,0.93,0.91,0.97,0.97,0.97,0.99,0.99,0.97,1
90,"sandwich","word","food_drink",0,0,0,0,0.01,0.03,0.01,0.02,0.07,0.08,0.09,0.09,0.08,0.2,0.21,0.24,0.22,0.3,0.3,0.36,0.27
91,"appelsin","word","food_drink",0.04,0.07,0.13,0.11,0.26,0.24,0.46,0.54,0.62,0.66,0.81,0.8,0.84,0.84,0.91,0.9,0.94,0.97,0.94,0.96,0.97
92,"kinderæg","word","food_drink",0,0,0.01,0,0,0.01,0.01,0.03,0.05,0.05,0.11,0.09,0.08,0.13,0.16,0.15,0.24,0.21,0.28,0.31,0.36
93,"slik","word","food_drink",0.04,0.09,0.15,0.18,0.3,0.36,0.52,0.52,0.65,0.69,0.84,0.86,0.86,0.88,0.88,0.93,0.94,0.97,0.99,0.96,0.98
94,"banan","word","food_drink",0.16,0.28,0.34,0.47,0.56,0.56,0.73,0.73,0.83,0.87,0.92,0.94,0.94,0.94,0.95,0.97,0.98,0.99,0.97,0.98,0.99
95,"kylling (food)","word","food_drink",0.02,0.02,0.05,0.06,0.17,0.19,0.38,0.41,0.44,0.53,0.65,0.69,0.68,0.75,0.86,0.86,0.87,0.91,0.92,0.91,0.98
96,"slikkepind","word","food_drink",0.01,0.01,0.02,0.01,0.06,0.08,0.19,0.21,0.37,0.44,0.55,0.59,0.65,0.74,0.82,0.83,0.87,0.87,0.9,0.94,0.98
97,"boller","word","food_drink",0.07,0.12,0.27,0.31,0.43,0.54,0.68,0.69,0.81,0.81,0.91,0.9,0.95,0.9,0.97,0.98,0.99,0.98,0.98,1,0.98
98,"kød","word","food_drink",0.01,0.05,0.11,0.12,0.16,0.2,0.4,0.45,0.51,0.64,0.73,0.76,0.76,0.8,0.86,0.86,0.92,0.93,0.93,0.92,0.98
99,"smør","word","food_drink",0.04,0.06,0.16,0.16,0.33,0.31,0.46,0.55,0.66,0.7,0.81,0.84,0.86,0.86,0.94,0.92,0.97,0.97,0.97,0.97,0.98
100,"burger","word","food_drink",0.01,0.02,0.02,0.01,0.04,0.06,0.13,0.18,0.24,0.25,0.37,0.39,0.37,0.49,0.58,0.57,0.66,0.66,0.64,0.73,0.75
101,"leverpostej","word","food_drink",0.03,0.02,0.08,0.11,0.16,0.19,0.33,0.39,0.53,0.62,0.68,0.79,0.8,0.81,0.86,0.88,0.91,0.97,0.95,0.97,0.98
102,"småkager","word","food_drink",0.01,0.01,0.04,0.07,0.08,0.1,0.16,0.22,0.28,0.33,0.42,0.51,0.47,0.57,0.64,0.63,0.73,0.69,0.77,0.77,0.79
103,"brød","word","food_drink",0.07,0.14,0.21,0.29,0.42,0.42,0.58,0.6,0.66,0.76,0.84,0.82,0.81,0.87,0.91,0.91,0.92,0.95,0.97,0.95,0.95
104,"mad","word","food_drink",0.57,0.57,0.68,0.69,0.79,0.85,0.86,0.89,0.91,0.96,0.96,0.95,0.98,0.98,0.99,0.98,0.98,0.99,0.99,0.97,1
105,"sodavand","word","food_drink",0.02,0.03,0.07,0.09,0.18,0.2,0.38,0.39,0.56,0.64,0.72,0.73,0.76,0.8,0.9,0.86,0.95,0.92,0.96,0.96,0.98
