"num_item_id","definition","type","category","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
113,"啫喱","word","food_drink",0,0.02,0.03,0.08,0.12,0.15,0.16,0.28,0.37,0.37,0.45,0.53,0.68,0.72,0.57
114,"豉油","word","food_drink",0,0.02,0.02,0.03,0,0.03,0.05,0.09,0.13,0.14,0.21,0.24,0.38,0.3,0.44
115,"汁/醬","word","food_drink",0.02,0.02,0.02,0.05,0.07,0.08,0.13,0.22,0.34,0.34,0.28,0.34,0.35,0.51,0.47
116,"蔥","word","food_drink",0,0.02,0,0,0.03,0.04,0.08,0.04,0.04,0.09,0.07,0.11,0.27,0.17,0.25
117,"薑","word","food_drink",0,0.02,0,0,0.01,0,0.02,0.01,0.04,0.08,0.15,0.15,0.21,0.17,0.25
118,"食","word","action_words",0.09,0.31,0.35,0.41,0.59,0.58,0.62,0.73,0.69,0.88,0.93,0.94,0.92,0.97,0.94
119,"飲","word","action_words",0.07,0.16,0.27,0.3,0.47,0.56,0.56,0.7,0.74,0.92,0.87,0.94,0.88,0.93,0.93
120,"餵","word","action_words",0,0.05,0.09,0.06,0.14,0.19,0.22,0.34,0.35,0.46,0.51,0.52,0.73,0.76,0.66
121,"咬","word","action_words",0.04,0.21,0.24,0.2,0.37,0.32,0.4,0.49,0.5,0.72,0.69,0.79,0.82,0.85,0.87
122,"噍*","word","action_words",0,0,0.02,0.02,0.03,0.03,0.02,0.05,0.04,0.05,0.1,0.08,0.23,0.14,0.18
123,"啜*(手指)","word","action_words",0,0.07,0.08,0.03,0.15,0.11,0.14,0.15,0.24,0.29,0.42,0.31,0.32,0.51,0.43
124,"吹","word","action_words",0.02,0.1,0.08,0.12,0.32,0.26,0.37,0.43,0.5,0.57,0.66,0.82,0.79,0.85,0.81
125,"吞","word","action_words",0,0.02,0.02,0.02,0.11,0.14,0.24,0.22,0.21,0.34,0.43,0.47,0.61,0.65,0.62
126,"吐/ ""luer""","word","action_words",0,0.07,0.09,0.08,0.18,0.17,0.16,0.19,0.22,0.38,0.45,0.48,0.48,0.58,0.59
127,"咳","word","action_words",0.09,0.23,0.24,0.32,0.49,0.42,0.46,0.54,0.71,0.8,0.82,0.94,0.86,0.9,0.9
128,"打","word","action_words",0.67,0.75,0.74,0.77,0.9,0.76,0.87,0.89,0.9,0.94,0.94,0.98,0.95,1,1
129,"拍(手)","word","action_words",0.11,0.25,0.27,0.3,0.44,0.4,0.49,0.53,0.5,0.72,0.72,0.81,0.85,0.86,0.82
130,"拖(住)","word","action_words",0.04,0.11,0.24,0.18,0.34,0.47,0.46,0.58,0.66,0.82,0.81,0.85,0.89,0.92,0.9
131,"握(手)","word","action_words",0,0.08,0.11,0.12,0.21,0.22,0.27,0.38,0.44,0.46,0.54,0.55,0.61,0.75,0.62
132,"俾","word","action_words",0.18,0.36,0.52,0.47,0.71,0.61,0.75,0.74,0.82,0.94,0.88,0.94,0.95,0.97,0.97
133,"攞","word","action_words",0,0.1,0.14,0.15,0.32,0.36,0.41,0.5,0.56,0.65,0.7,0.76,0.82,0.89,0.82
134,"拎","word","action_words",0,0.03,0.09,0.03,0.19,0.14,0.24,0.31,0.35,0.46,0.46,0.53,0.58,0.65,0.59
135,"揸","word","action_words",0.02,0.08,0.18,0.17,0.3,0.35,0.3,0.45,0.56,0.69,0.66,0.76,0.82,0.89,0.82
136,"擺","word","action_words",0,0.08,0.2,0.14,0.4,0.35,0.41,0.55,0.69,0.62,0.67,0.82,0.86,0.87,0.85
137,"放","word","action_words",0.02,0.07,0.05,0.03,0.14,0.18,0.27,0.24,0.41,0.43,0.57,0.55,0.67,0.73,0.75
138,"錫","word","action_words",0.11,0.26,0.41,0.38,0.52,0.62,0.56,0.65,0.72,0.85,0.85,0.89,0.92,0.94,0.9
139,"抱","word","action_words",0.24,0.52,0.65,0.53,0.75,0.76,0.76,0.85,0.87,0.97,0.93,0.98,0.97,0.99,0.99
140,"攬","word","action_words",0,0.1,0.08,0.09,0.16,0.17,0.29,0.35,0.47,0.49,0.54,0.6,0.64,0.8,0.63
141,"孭","word","action_words",0.04,0.16,0.21,0.18,0.32,0.38,0.43,0.5,0.59,0.74,0.69,0.85,0.77,0.86,0.85
142,"扶","word","action_words",0,0.05,0.03,0.03,0.15,0.15,0.24,0.24,0.32,0.38,0.48,0.53,0.5,0.61,0.6
143,"坐","word","action_words",0.11,0.33,0.29,0.39,0.53,0.67,0.6,0.74,0.79,0.91,0.85,0.97,0.97,0.97,0.96
144,"行","word","action_words",0,0.15,0.18,0.2,0.34,0.43,0.44,0.58,0.63,0.8,0.75,0.85,0.86,0.93,0.88
145,"走","word","action_words",0.04,0.11,0.2,0.2,0.32,0.43,0.51,0.62,0.66,0.65,0.72,0.87,0.86,0.96,0.9
146,"跑步","word","action_words",0.02,0,0.05,0.06,0.08,0.12,0.16,0.23,0.25,0.34,0.43,0.45,0.47,0.65,0.6
147,"追","word","action_words",0,0.02,0.08,0.09,0.16,0.21,0.24,0.28,0.35,0.4,0.48,0.53,0.76,0.66,0.68
148,"企","word","action_words",0,0.07,0.08,0.14,0.22,0.26,0.37,0.41,0.5,0.57,0.63,0.74,0.76,0.89,0.85
149,"停","word","action_words",0,0.02,0.03,0.06,0.11,0.19,0.29,0.3,0.34,0.4,0.48,0.47,0.62,0.73,0.75
150,"去","word","action_words",0.07,0.11,0.21,0.2,0.37,0.49,0.46,0.61,0.72,0.85,0.79,0.81,0.88,0.93,0.9
151,"上(去)","word","action_words",0,0.07,0.15,0.09,0.26,0.28,0.25,0.38,0.6,0.54,0.63,0.77,0.74,0.85,0.82
152,"落(去)","word","action_words",0,0.08,0.14,0.05,0.29,0.24,0.3,0.39,0.54,0.55,0.67,0.71,0.74,0.83,0.81
153,"出(去)","word","action_words",0,0.03,0.12,0.11,0.27,0.25,0.33,0.39,0.54,0.65,0.61,0.79,0.85,0.9,0.84
154,"入(去)","word","action_words",0,0.02,0.06,0.03,0.21,0.21,0.22,0.26,0.43,0.42,0.57,0.65,0.7,0.73,0.82
155,"玩","word","action_words",0.04,0.16,0.18,0.24,0.52,0.54,0.56,0.61,0.76,0.83,0.85,0.92,0.89,0.96,0.93
156,"學","word","action_words",0,0,0.03,0,0.01,0.04,0.1,0.16,0.16,0.14,0.28,0.31,0.55,0.62,0.49
157,"瞓覺","word","action_words",0.11,0.23,0.27,0.32,0.47,0.49,0.49,0.73,0.71,0.86,0.87,0.97,0.95,0.94,0.9
158,"起身","word","action_words",0,0.07,0.09,0.11,0.29,0.31,0.3,0.51,0.56,0.72,0.72,0.76,0.82,0.86,0.9
159,"醒","word","action_words",0,0,0.02,0.06,0.05,0.1,0.11,0.28,0.29,0.29,0.43,0.53,0.56,0.68,0.72
160,"跌","word","action_words",0.09,0.25,0.3,0.27,0.59,0.5,0.54,0.64,0.74,0.82,0.82,0.85,0.89,0.93,0.97
161,"踢","word","action_words",0.09,0.2,0.23,0.27,0.53,0.47,0.41,0.58,0.72,0.78,0.76,0.85,0.88,0.89,0.91
162,"跳","word","action_words",0.04,0.1,0.11,0.17,0.38,0.33,0.35,0.42,0.51,0.65,0.66,0.76,0.86,0.85,0.84
163,"跳舞","word","action_words",0,0.05,0.05,0.09,0.19,0.18,0.17,0.3,0.41,0.51,0.51,0.58,0.67,0.76,0.75
164,"彈","word","action_words",0.02,0.07,0.02,0.03,0.14,0.12,0.14,0.24,0.28,0.34,0.3,0.44,0.56,0.61,0.44
165,"飛","word","action_words",0.09,0.1,0.27,0.27,0.34,0.35,0.29,0.51,0.57,0.65,0.63,0.79,0.77,0.87,0.9
166,"游水","word","action_words",0,0.07,0.09,0.09,0.25,0.29,0.32,0.41,0.59,0.65,0.58,0.74,0.77,0.86,0.81
167,"搖","word","action_words",0,0.1,0.05,0.06,0.23,0.14,0.19,0.3,0.37,0.31,0.48,0.53,0.59,0.69,0.63
168,"轉","word","action_words",0.04,0.11,0.18,0.15,0.25,0.29,0.27,0.43,0.51,0.62,0.63,0.65,0.82,0.85,0.72
169,"郁","word","action_words",0,0.03,0.02,0.02,0.07,0.12,0.22,0.27,0.32,0.38,0.46,0.61,0.71,0.76,0.71
170,"匿*(埋)","word","action_words",0,0.07,0.02,0.08,0.21,0.18,0.27,0.35,0.53,0.58,0.55,0.66,0.68,0.82,0.79
171,"搵","word","action_words",0,0.03,0.05,0.02,0.08,0.11,0.29,0.39,0.4,0.43,0.58,0.58,0.73,0.86,0.76
172,"捉","word","action_words",0.02,0.07,0.09,0.09,0.25,0.14,0.29,0.28,0.44,0.45,0.52,0.6,0.77,0.77,0.75
173,"(打)開/開(燈)","word","action_words",0.04,0.21,0.29,0.27,0.52,0.54,0.56,0.72,0.76,0.83,0.81,0.92,0.91,0.94,0.97
174,"熄(燈)","word","action_words",0,0.05,0.06,0.12,0.26,0.33,0.3,0.49,0.59,0.6,0.63,0.74,0.85,0.86,0.84
175,"閂(門)","word","action_words",0.02,0.13,0.18,0.12,0.3,0.38,0.37,0.59,0.63,0.77,0.75,0.74,0.88,0.93,0.93
176,"敲/搉*(門)","word","action_words",0.02,0.03,0.06,0.11,0.19,0.19,0.13,0.24,0.37,0.31,0.48,0.5,0.56,0.69,0.57
177,"愛/要","word","action_words",0.18,0.23,0.27,0.38,0.59,0.61,0.63,0.7,0.79,0.88,0.84,0.92,0.95,0.99,0.91
178,"鍾意","word","action_words",0,0.05,0.05,0.02,0.16,0.19,0.22,0.32,0.44,0.49,0.48,0.65,0.82,0.86,0.76
